column,dtype,null_count,null_pct
customerid,str,0,0.0
gender,str,0,0.0
senior_citizen,str,0,0.0
partner,bool,0,0.0
dependents,bool,0,0.0
tenure_months,int64,0,0.0
tenure,int64,0,0.0
phone_service,bool,0,0.0
multiple_lines,str,0,0.0
internet_service,str,0,0.0
online_security,str,0,0.0
online_backup,str,0,0.0
device_protection,str,0,0.0
tech_support,str,0,0.0
streaming_tv,str,0,0.0
streaming_movies,str,0,0.0
contract,str,0,0.0
paperless_billing,bool,0,0.0
payment_method,str,0,0.0
monthly_charges,float64,0,0.0
total_charges,float64,11,0.001561834445548772
churn_label,str,0,0.0
churn_value,int64,0,0.0
churn,bool,0,0.0
churn_score,int64,0,0.0
cltv,int64,0,0.0
country,str,0,0.0
state,str,0,0.0
city,str,0,0.0
zip_code,int64,0,0.0
latitude,float64,0,0.0
longitude,float64,0,0.0
